j = 0, k = 0, y1 = 0, y2 = 0, n_min = 0, n_max = 1, y1 - y2 = 0, r = 0, rk = None, m1 = 0, m2=0
j = 0, k = 0, y1 = 1, y2 = 1, n_min = 0, n_max = 1, y1 - y2 = 0, r = 0, rk = None, m1 = 1, m2=1
j = 0, k = 0, y1 = 2, y2 = 2, n_min = 0, n_max = 1, y1 - y2 = 0, r = 0, rk = None, m1 = 2, m2=2

j = 1, k = 2, y1 = 2, y2 = 0, n_min = 1, n_max = 3, y1 - y2 = 2, r = 2, rk = 0, m1 = 1, m2=1
j = 1, k = 1, y1 = 0, y2 = 1, n_min = 1, n_max = 2, y1 - y2 = -1, r = 2, rk = 1, m1 = 2, m2=2
j = 1, k = 1, y1 = 1, y2 = 2, n_min = 1, n_max = 3, y1 - y2 = -1, r = 2, rk = 1, m1 = 0, m2=0

j = 2, k = 1, y1 = 1, y2 = 0, n_min = 3, n_max = 4, y1 - y2 = 1, r = 1, rk = 0, m1 = 2, m2=2
j = 2, k = 1, y1 = 2, y2 = 1, n_min = 3, n_max = 5, y1 - y2 = 1, r = 1, rk = 0, m1 = 0, m2=0
j = 2, k = 0, y1 = 0, y2 = 2, n_min = 2, n_max = 4, y1 - y2 = -2, r = 1, rk = 0, m1 = 1, m2=1

j = 3, k = 0, y1 = 0, y2 = 0, n_min = 5, n_max = 6, y1 - y2 = 0, r = 0, rk = None, m1 = 0, m2=0
j = 3, k = 0, y1 = 1, y2 = 1, n_min = 4, n_max = 6, y1 - y2 = 0, r = 0, rk = None, m1 = 1, m2=1
j = 3, k = 0, y1 = 2, y2 = 2, n_min = 4, n_max = 6, y1 - y2 = 0, r = 0, rk = None, m1 = 2, m2=2

j = 4, k = 2, y1 = 2, y2 = 0, n_min = 6, n_max = 8, y1 - y2 = 2, r = 2, rk = 0, m1 = 1, m2=1
j = 4, k = 1, y1 = 0, y2 = 1, n_min = 6, n_max = 7, y1 - y2 = -1, r = 2, rk = 1, m1 = 2, m2=2
j = 4, k = 1, y1 = 1, y2 = 2, n_min = 6, n_max = 8, y1 - y2 = -1, r = 2, rk = 1, m1 = 0, m2=0

j = 5, k = 1, y1 = 1, y2 = 0, n_min = 8, n_max = 9, y1 - y2 = 1, r = 1, rk = 0, m1 = 2, m2=2
j = 5, k = 1, y1 = 2, y2 = 1, n_min = 8, n_max = 10, y1 - y2 = 1, r = 1, rk = 0, m1 = 0, m2=0
j = 5, k = 0, y1 = 0, y2 = 2, n_min = 7, n_max = 9, y1 - y2 = -2, r = 1, rk = 0, m1 = 1, m2=1

j = 6, k = 0, y1 = 0, y2 = 0, n_min = 10, n_max = 11, y1 - y2 = 0, r = 0, rk = None, m1 = 0, m2=0
j = 6, k = 0, y1 = 1, y2 = 1, n_min = 9, n_max = 11, y1 - y2 = 0, r = 0, rk = None, m1 = 1, m2=1
j = 6, k = 0, y1 = 2, y2 = 2, n_min = 9, n_max = 11, y1 - y2 = 0, r = 0, rk = None, m1 = 2, m2=2

j = 7, k = 2, y1 = 2, y2 = 0, n_min = 11, n_max = 13, y1 - y2 = 2, r = 2, rk = 0, m1 = 1, m2=1
j = 7, k = 1, y1 = 0, y2 = 1, n_min = 11, n_max = 12, y1 - y2 = -1, r = 2, rk = 1, m1 = 2, m2=2
j = 7, k = 1, y1 = 1, y2 = 2, n_min = 11, n_max = 13, y1 - y2 = -1, r = 2, rk = 1, m1 = 0, m2=0

j = 8, k = 1, y1 = 1, y2 = 0, n_min = 13, n_max = 14, y1 - y2 = 1, r = 1, rk = 0, m1 = 2, m2=2
